epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5447,0.3481,0.26282,0.84449,0.99523,0.98646,0.99481,0.95064,0.29548,0.24246,0.84063,0.000662132,0.000662132,0.000662132
2,73.5246,0.3921,0.29667,0.84535,0.98642,0.98331,0.99374,0.92542,0.34647,0.29147,0.85103,0.00130249,0.00130249,0.00130249
3,97.1642,0.42335,0.31953,0.85092,0.78108,0.89168,0.91689,0.84479,0.37794,0.93963,0.85592,0.00191644,0.00191644,0.00191644
4,120.446,0.43962,0.33502,0.84943,0.98617,0.96545,0.99308,0.90716,0.38875,0.32557,0.85126,0.0018812,0.0018812,0.0018812
5,143.816,0.43382,0.3308,0.84912,0.98834,0.98394,0.9936,0.93964,0.34204,0.28786,0.84216,0.0018416,0.0018416,0.0018416
6,167.365,0.41963,0.32671,0.84256,0.97519,0.98838,0.99232,0.93132,0.33935,0.29076,0.83863,0.001802,0.001802,0.001802
7,190.582,0.41556,0.31784,0.84665,0.98647,0.9875,0.99279,0.94611,0.32992,0.28894,0.83199,0.0017624,0.0017624,0.0017624
8,213.969,0.41367,0.31594,0.84637,0.99761,0.99033,0.99496,0.94379,0.32524,0.27835,0.8378,0.0017228,0.0017228,0.0017228
9,238.732,0.4018,0.30621,0.84001,0.99182,0.97679,0.99312,0.93621,0.34902,0.28434,0.83333,0.0016832,0.0016832,0.0016832
10,262.121,0.40894,0.31278,0.83845,0.96908,0.97679,0.99282,0.93962,0.30452,0.27762,0.83084,0.0016436,0.0016436,0.0016436
11,285.801,0.40102,0.30936,0.84315,0.99417,0.9892,0.99464,0.95203,0.30394,0.26154,0.82781,0.001604,0.001604,0.001604
12,308.961,0.39795,0.29986,0.83499,0.98422,0.98839,0.99386,0.95322,0.28816,0.25201,0.82762,0.0015644,0.0015644,0.0015644
13,332.555,0.39359,0.29978,0.8363,0.99803,0.98237,0.99424,0.94542,0.31322,0.24961,0.82779,0.0015248,0.0015248,0.0015248
14,357.043,0.38088,0.28616,0.8323,0.99419,0.99301,0.99484,0.96361,0.27523,0.23776,0.82169,0.0014852,0.0014852,0.0014852
15,380.29,0.37633,0.28979,0.83493,0.99224,0.98966,0.99444,0.94871,0.29472,0.2475,0.83018,0.0014456,0.0014456,0.0014456
16,403.557,0.3766,0.28426,0.83038,0.99544,0.99226,0.99494,0.96038,0.28584,0.23538,0.81828,0.001406,0.001406,0.001406
17,426.984,0.36172,0.27616,0.83061,0.99558,0.99226,0.99432,0.95541,0.29415,0.24749,0.82124,0.0013664,0.0013664,0.0013664
18,450.47,0.36278,0.28248,0.83404,0.99529,0.99033,0.99482,0.95344,0.28465,0.24303,0.82842,0.0013268,0.0013268,0.0013268
19,474.062,0.37026,0.27826,0.83497,0.98838,0.98731,0.99419,0.95128,0.28607,0.23533,0.8234,0.0012872,0.0012872,0.0012872
20,497.634,0.35854,0.27657,0.83168,0.99727,0.99033,0.99403,0.96674,0.26471,0.2261,0.81471,0.0012476,0.0012476,0.0012476
21,521.084,0.35083,0.2676,0.82118,0.9961,0.98828,0.99432,0.95813,0.28365,0.23136,0.81605,0.001208,0.001208,0.001208
22,544.505,0.35397,0.26647,0.8291,0.99803,0.98214,0.99365,0.96266,0.26136,0.22014,0.81452,0.0011684,0.0011684,0.0011684
